,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Telecommunication Services,Utilities
1998Q4,8.0,3.0,0.0,2.0,10.0,6.0,1.0,7.0,9.0,5.0,4.0
1999Q2,5.0,0.0,6.0,9.0,10.0,7.0,3.0,4.0,2.0,1.0,8.0
1999Q4,7.0,0.0,8.0,9.0,10.0,6.0,2.0,5.0,1.0,3.0,4.0
2000Q2,8.0,7.0,9.0,5.0,10.0,4.0,0.0,2.0,3.0,1.0,6.0
2000Q4,5.0,2.0,6.0,4.0,8.0,10.0,1.0,3.0,9.0,0.0,7.0
2001Q2,2.0,1.0,3.0,5.0,7.0,10.0,8.0,4.0,9.0,0.0,6.0
2001Q4,2.0,1.0,8.0,9.0,4.0,0.0,10.0,7.0,6.0,3.0,5.0
2002Q2,2.0,1.0,8.0,10.0,4.0,5.0,9.0,7.0,0.0,3.0,6.0
2002Q4,6.0,4.0,2.0,10.0,7.0,9.0,1.0,5.0,3.0,0.0,8.0
2003Q2,2.0,7.0,1.0,9.0,3.0,5.0,6.0,4.0,10.0,0.0,8.0
2003Q4,5.0,7.0,6.0,4.0,1.0,0.0,2.0,3.0,10.0,9.0,8.0
2004Q2,4.0,6.0,7.0,10.0,1.0,0.0,2.0,3.0,5.0,9.0,8.0
2004Q4,6.0,5.0,2.0,7.0,9.0,0.0,8.0,1.0,10.0,3.0,4.0
2005Q2,8.0,7.0,0.0,4.0,3.0,10.0,6.0,1.0,9.0,5.0,2.0
2005Q4,0.0,5.0,3.0,4.0,1.0,10.0,2.0,7.0,8.0,9.0,6.0
2006Q2,1.0,10.0,5.0,3.0,9.0,6.0,2.0,0.0,4.0,8.0,7.0
2006Q4,2.0,7.0,8.0,4.0,10.0,3.0,5.0,0.0,1.0,9.0,6.0
2007Q2,1.0,6.0,8.0,2.0,10.0,0.0,7.0,4.0,3.0,9.0,5.0
2007Q4,5.0,9.0,8.0,1.0,10.0,2.0,3.0,7.0,0.0,6.0,4.0
2008Q2,10.0,3.0,2.0,8.0,9.0,0.0,1.0,6.0,5.0,7.0,4.0
2008Q4,1.0,4.0,5.0,7.0,8.0,10.0,2.0,0.0,3.0,9.0,6.0
2009Q2,1.0,6.0,10.0,8.0,5.0,9.0,2.0,0.0,4.0,7.0,3.0
2009Q4,0.0,7.0,8.0,6.0,5.0,4.0,3.0,9.0,2.0,10.0,1.0
2010Q2,6.0,8.0,2.0,9.0,7.0,4.0,1.0,3.0,0.0,10.0,5.0
2010Q4,7.0,5.0,0.0,1.0,9.0,3.0,2.0,6.0,4.0,10.0,8.0
2011Q2,9.0,5.0,2.0,7.0,3.0,6.0,1.0,4.0,0.0,10.0,8.0
2011Q4,5.0,8.0,0.0,7.0,1.0,9.0,6.0,3.0,2.0,10.0,4.0
2012Q2,8.0,4.0,5.0,3.0,1.0,10.0,0.0,9.0,2.0,7.0,6.0
2012Q4,9.0,4.0,5.0,3.0,2.0,10.0,0.0,7.0,1.0,6.0,8.0
2013Q2,3.0,4.0,9.0,8.0,0.0,10.0,1.0,7.0,2.0,6.0,5.0
2013Q4,0.0,5.0,10.0,6.0,3.0,7.0,2.0,8.0,1.0,9.0,4.0
2014Q2,2.0,8.0,9.0,4.0,3.0,10.0,1.0,5.0,0.0,6.0,7.0
2014Q4,6.0,10.0,9.0,3.0,1.0,4.0,2.0,5.0,0.0,7.0,8.0
2015Q2,6.0,7.0,10.0,1.0,4.0,0.0,3.0,9.0,2.0,5.0,8.0
2015Q4,2.0,8.0,10.0,4.0,3.0,0.0,1.0,9.0,5.0,7.0,6.0
2016Q2,0.0,8.0,10.0,9.0,3.0,1.0,2.0,7.0,4.0,5.0,6.0
2016Q4,0.0,7.0,9.0,10.0,3.0,6.0,2.0,1.0,4.0,8.0,5.0
2017Q2,4.0,10.0,3.0,8.0,1.0,7.0,2.0,0.0,5.0,9.0,6.0
2017Q4,1.0,9.0,4.0,6.0,0.0,8.0,2.0,3.0,7.0,10.0,5.0
